screen_id,organism,experimental_setup,condition_name,condition_class,growth_direction,readout_type,method,current_domain,needs_llm,needs_review
1985,Homo sapiens,Drug Exposure,cerivastatin,drug,suppressing,survival,setup,stress,0,0
2454,Homo sapiens,Drug Exposure,Tunicamycin,drug,suppressing,survival,setup,stress,0,0
1430,Homo sapiens,Virus Exposure,Virus:  Human gammaherpesvirus 8 (Kaposi's sarcoma-associated herpesvirus KSHV),pathogen,suppressing,survival,setup,stress,0,0
405,Homo sapiens,Timecourse,-,baseline,none,marker,setup,reporter,0,0
827,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
923,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
1986,Homo sapiens,Drug Exposure,EMI1,drug,suppressing,survival,setup,stress,0,0
2455,Homo sapiens,Timecourse,Mutation: CFLAR (ETG8837) KO,baseline,none,proliferation,setup,fitness,0,0
406,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
828,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
924,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
1431,Homo sapiens,Virus Exposure,Virus: SARS-CoV-2 (isolate USA-WA1/2020),pathogen,suppressing,survival,setup,stress,0,0
1987,Homo sapiens,Timecourse,-,baseline,none,marker,setup,reporter,0,0
2456,Homo sapiens,Drug Exposure,Cisplatin|Etoposide,drug,suppressing,survival,setup,stress,0,0
407,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
829,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
925,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
1432,Homo sapiens,Timecourse,-,baseline,none,marker,setup,stress,0,0
1988,Homo sapiens,Timecourse,-,baseline,none,marker,setup,reporter,0,0
2457,Homo sapiens,Timecourse,-,baseline,none,marker,setup,reporter,0,0
2458,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
408,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
1433,Homo sapiens,Virus Exposure,Virus: SARS-CoV-2 (isolate USA-WA1/2020),pathogen,suppressing,survival,setup,stress,0,0
926,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
1989,Homo sapiens,Drug Exposure,UM171,drug,suppressing,survival,setup,stress,0,0
830,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
1990,Homo sapiens,Drug Exposure,UM171,drug,suppressing,survival,setup,stress,0,0
409,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
927,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
831,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
