screen_id,organism,condition_class,growth_direction,readout_type,sign_convention,source,status,current_domain,new_domain,domain_changed
663,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
1774,Homo sapiens,baseline,none,marker,,rule,auto,reporter,reporter,0
2287,Homo sapiens,in-vivo,none,proliferation,,rule,auto,fitness,fitness,0
1211,Homo sapiens,baseline,none,marker,,rule,auto,reporter,reporter,0
246,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
664,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
1775,Homo sapiens,baseline,none,marker,,rule,auto,reporter,reporter,0
2288,Homo sapiens,in-vivo,none,proliferation,,rule,auto,fitness,fitness,0
1212,Homo sapiens,drug,suppressing,survival,,rule,auto,stress,stress,0
247,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
665,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
1776,Homo sapiens,baseline,none,marker,,rule,auto,reporter,reporter,0
2289,Homo sapiens,in-vivo,none,proliferation,,rule,auto,fitness,fitness,0
1213,Homo sapiens,drug,suppressing,survival,,rule,auto,stress,stress,0
248,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
666,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
1777,Homo sapiens,baseline,none,marker,,rule,auto,reporter,reporter,0
2290,Homo sapiens,in-vivo,none,proliferation,,rule,auto,fitness,fitness,0
249,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
2291,Homo sapiens,in-vivo,none,proliferation,,rule,auto,fitness,fitness,0
250,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
667,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
1778,Homo sapiens,baseline,none,marker,,rule,auto,reporter,reporter,0
1214,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
668,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
1216,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
2292,Homo sapiens,drug,suppressing,survival,,rule,auto,stress,stress,0
1779,Homo sapiens,drug,suppressing,survival,,rule,auto,stress,stress,0
669,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
251,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
1215,Homo sapiens,pathogen,suppressing,survival,,rule,auto,stress,stress,0
1782,Homo sapiens,in-vivo,none,proliferation,,rule,auto,fitness,fitness,0
2293,Homo sapiens,drug,suppressing,survival,,rule,auto,stress,stress,0
1217,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
252,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
670,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
1783,Homo sapiens,radiation,suppressing,survival,,rule,auto,stress,stress,0
2294,Homo sapiens,drug,suppressing,survival,,rule,auto,stress,stress,0
253,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
671,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
1218,Homo sapiens,pathogen,suppressing,marker,,rule,auto,reporter,reporter,0
1786,Homo sapiens,signal,promoting,proliferation,positive score = enriched = KO confers cytokine-independent growth,llm,auto,reporter,stress,1
2295,Homo sapiens,drug,suppressing,survival,,rule,auto,stress,stress,0
1220,Homo sapiens,pathogen,suppressing,survival,,rule,auto,stress,stress,0
254,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
672,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
1787,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
2296,Homo sapiens,drug,suppressing,survival,,rule,auto,stress,stress,0
255,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
673,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
1221,Homo sapiens,pathogen,suppressing,survival,,rule,auto,stress,stress,0
2297,Homo sapiens,drug,suppressing,survival,,rule,auto,stress,stress,0
1788,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
1222,Homo sapiens,pathogen,suppressing,survival,,rule,auto,stress,stress,0
256,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
674,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
1789,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
2298,Homo sapiens,drug,suppressing,survival,,rule,auto,stress,stress,0
1223,Homo sapiens,toxin,suppressing,survival,,rule,auto,stress,stress,0
257,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
675,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
1790,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
2299,Homo sapiens,drug,suppressing,survival,,rule,auto,stress,stress,0
1224,Homo sapiens,baseline,none,marker,,rule,auto,reporter,reporter,0
258,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
676,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
1791,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
2300,Homo sapiens,drug,suppressing,survival,,rule,auto,stress,stress,0
1225,Homo sapiens,baseline,none,marker,,rule,auto,reporter,reporter,0
259,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
1792,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
677,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
230,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
2301,Homo sapiens,drug,suppressing,survival,,rule,auto,stress,stress,0
1227,Homo sapiens,toxin,suppressing,survival,,rule,auto,stress,stress,0
260,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
678,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
1793,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
2302,Homo sapiens,drug,suppressing,survival,,rule,auto,stress,stress,0
1228,Homo sapiens,toxin,suppressing,survival,,rule,auto,fitness,stress,1
261,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
679,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
1794,Homo sapiens,drug,suppressing,survival,,rule,auto,stress,stress,0
2303,Homo sapiens,drug,suppressing,survival,,rule,auto,stress,stress,0
1229,Homo sapiens,toxin,suppressing,survival,,rule,auto,fitness,stress,1
262,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
680,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
263,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
1795,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
2304,Homo sapiens,drug,suppressing,survival,,rule,auto,stress,stress,0
1230,Homo sapiens,pathogen,suppressing,survival,,rule,auto,fitness,stress,1
1796,Homo sapiens,drug,suppressing,survival,,rule,auto,stress,stress,0
681,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
2305,Homo sapiens,drug,suppressing,survival,,rule,auto,stress,stress,0
1232,Homo sapiens,radiation,suppressing,survival,,rule,auto,stress,stress,0
682,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
264,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
2306,Homo sapiens,drug,suppressing,survival,,rule,auto,stress,stress,0
1797,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
265,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
1233,Homo sapiens,pathogen,suppressing,survival,,rule,auto,stress,stress,0
683,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
1798,Homo sapiens,drug,suppressing,survival,,rule,auto,stress,stress,0
2309,Homo sapiens,drug,suppressing,survival,,rule,auto,stress,stress,0
1234,Homo sapiens,pathogen,suppressing,survival,,rule,auto,stress,stress,0
689,Homo sapiens,drug,suppressing,survival,,rule,auto,stress,stress,0
266,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
1799,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
2310,Homo sapiens,drug,suppressing,survival,,rule,auto,stress,stress,0
1235,Homo sapiens,drug,suppressing,survival,,rule,auto,stress,stress,0
267,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
691,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
1800,Homo sapiens,drug,suppressing,survival,,rule,auto,stress,stress,0
