gene,tier,specific,channels,n_cohit,n_cohit_pubs,odds_ratio,cohit_q,spec_enrichment,spec_q,rho,n_coess,coess_q,n_shared_pubs,hit_freq_all,is_core_essential,strength
Exoc1,Weak,True,co-hit|co-citation|contextual,4,3,45.0,1.990e-02,3.43,9.393e-02,0.4082,30,2.967e-01,4,0.1456,False,0.65
Supt3,Weak,True,co-hit|co-citation|contextual,4,3,45.0,1.990e-02,4.73,8.374e-02,0.2494,30,6.136e-01,3,0.1058,False,0.5683
Casc3,Weak,True,co-hit|co-citation|contextual,4,3,45.0,1.990e-02,3.5,9.239e-02,-0.1849,30,7.426e-01,3,0.1429,False,0.5184
Mup1,Weak,True,co-hit|co-essentiality|co-citation|contextual,4,3,43.0,2.139e-02,3.83,8.387e-02,0.6015,29,7.368e-02,4,0.1304,False,0.6871
Gm20604,Weak,True,co-hit|co-citation|contextual,4,3,43.0,2.139e-02,4.08,8.387e-02,0.4453,29,2.474e-01,4,0.1224,False,0.6559
Mtfr1,Weak,True,co-hit|co-essentiality|co-citation|contextual,4,3,43.0,2.139e-02,8.8,7.477e-02,0.5754,29,9.760e-02,3,0.0568,False,0.6319
Epc1,Weak,True,co-hit|co-essentiality|co-citation|contextual,4,3,43.0,2.139e-02,10.5,7.229e-02,0.5611,29,1.097e-01,3,0.0476,False,0.629
Myo1g,Weak,True,co-hit|co-citation|contextual,4,3,43.0,2.139e-02,7.42,7.477e-02,0.4384,29,2.587e-01,3,0.0674,False,0.6045
Pkn2,Weak,True,co-hit|co-citation|contextual,4,3,43.0,2.139e-02,2.97,9.878e-02,0.4177,29,2.935e-01,3,0.1682,False,0.6004
Crip2,Weak,True,co-hit|co-citation|contextual,4,3,43.0,2.139e-02,11.25,6.708e-02,0.364,29,3.946e-01,3,0.0444,False,0.5896
Kif18a,Weak,True,co-hit|co-citation|contextual,4,3,43.0,2.139e-02,3.61,8.872e-02,0.2719,29,5.783e-01,3,0.1386,False,0.5712
Timm8a1,Weak,True,co-hit|co-citation|contextual,4,3,43.0,2.139e-02,3.08,9.440e-02,0.1921,29,7.348e-01,3,0.1625,False,0.5552
Shc1,Weak,True,co-hit|co-citation|contextual,4,3,43.0,2.139e-02,6.5,7.477e-02,0.1645,29,7.851e-01,3,0.0769,False,0.5497
Jpt1,Weak,True,co-hit|co-citation|contextual,4,3,43.0,2.139e-02,6.5,7.477e-02,0.135,29,8.337e-01,3,0.0769,False,0.5438
Amn1,Weak,True,co-hit|co-citation|contextual,4,3,43.0,2.139e-02,7.33,7.477e-02,0.0389,29,9.609e-01,3,0.0682,False,0.5246
Ap5s1,Weak,True,co-hit|co-citation|contextual,4,3,43.0,2.139e-02,12.5,6.708e-02,0.0365,29,9.631e-01,3,0.04,False,0.5241
Klf6,Weak,True,co-hit|co-citation|contextual,4,3,43.0,2.139e-02,5.22,7.826e-02,0.0133,29,9.876e-01,3,0.0957,False,0.5195
Inppl1,Weak,True,co-hit|co-citation|contextual,4,3,43.0,2.139e-02,6.4,7.477e-02,-0.2128,29,6.977e-01,3,0.0781,False,0.5168
Ywhaz,Weak,True,co-hit|co-citation|contextual,4,3,36.818,2.298e-02,4.0,8.387e-02,0.2004,31,7.071e-01,3,0.1111,False,0.5553
Map6,Weak,True,co-hit|co-citation|contextual,4,3,36.818,2.298e-02,7.91,7.477e-02,-0.1315,31,8.324e-01,3,0.0562,False,0.5153
Olfr331,Weak,True,co-hit|co-essentiality|co-citation|contextual,4,3,35.182,2.432e-02,6.78,7.477e-02,0.6107,30,6.019e-02,3,0.0656,False,0.6362
Pigv,Weak,True,co-hit|co-citation|contextual,4,3,35.182,2.432e-02,3.45,9.400e-02,0.131,30,8.356e-01,3,0.1287,False,0.5402
Cts8,Weak,True,co-hit|co-citation|contextual,4,3,35.182,2.432e-02,9.78,7.477e-02,0.0879,30,8.976e-01,3,0.0455,False,0.5316
