gene,rho,n_coess,coess_p,hit_freq_all
Ccnf,0.4781,30,7.537e-03,0.3269
Tubb5,0.4781,30,7.537e-03,0.3762
Zfp36l3,-0.4781,30,7.537e-03,0.0225
Grpel1,0.4778,29,8.753e-03,0.3587
Polr3b,0.4778,31,6.557e-03,0.2991
Ttc3,-0.4778,29,8.753e-03,0.0
Unc13c,-0.4778,29,8.753e-03,0.0385
Plac8l1,-0.4778,29,8.753e-03,0.0111
Mapre1,0.4778,29,8.753e-03,0.1379
Olfr1178,-0.4776,30,7.601e-03,0.0247
Rab3ip,-0.4776,30,7.601e-03,0.044
Cmtm2b,0.4773,29,8.832e-03,0.0455
H2-T3,0.4773,29,8.832e-03,0.0581
Fbxo31,-0.4773,29,8.832e-03,0.0449
Slc30a8,-0.4773,29,8.832e-03,0.02
Dmbx1,-0.4773,29,8.832e-03,0.0111
Gpn2,0.4772,30,7.665e-03,0.3478
Timm9,0.4772,30,7.665e-03,0.13
Serpinb13,-0.4768,29,8.913e-03,0.0294
Hspe1,0.4768,29,8.913e-03,0.3239
Exosc7,0.4768,29,8.913e-03,0.3267
Cox7b2,-0.4768,29,8.913e-03,0.0238
Tmbim4,-0.4768,29,8.913e-03,0.0111
Higd1a,0.4764,29,8.993e-03,0.0112
Kcnj11,-0.4764,29,8.993e-03,0.029
Cmpk2,-0.4764,29,8.993e-03,0.0
Pros1,-0.4764,29,8.993e-03,0.0
Vmn1r63,0.4764,29,8.993e-03,0.0667
Tyro3,-0.4764,29,8.993e-03,0.0196
Tex10,0.4759,30,7.861e-03,0.3077
Trp63,-0.4759,29,9.075e-03,0.0225
P3h3,-0.4759,29,9.075e-03,0.0169
Kdm3b,0.4759,29,9.075e-03,0.1057
Spic,-0.4759,29,9.075e-03,0.023
Pla1a,-0.4759,29,9.075e-03,0.02
Chek1,0.4758,31,6.821e-03,0.2517
Gnl2,0.4754,30,7.928e-03,0.3056
Kat7,0.4754,29,9.157e-03,0.1215
Nrf1,0.4754,31,6.875e-03,0.3548
Atn1,-0.4754,30,7.928e-03,0.0326
Irs4,-0.4754,29,9.157e-03,0.0115
Hnrnpf,0.475,31,6.929e-03,0.2308
H3f3a,0.475,31,6.929e-03,0.129
Il27ra,-0.475,30,7.995e-03,0.0292
Gna11,0.4749,29,9.239e-03,0.0476
Rassf3,-0.4749,29,9.239e-03,0.0115
Tmem161a,-0.4749,29,9.239e-03,0.0476
Rdh7,-0.4749,29,9.239e-03,0.0112
Olfr998,-0.4749,29,9.239e-03,0.05
Olfr77,-0.4749,29,9.239e-03,0.0375
Vmp1,0.4746,31,6.984e-03,0.3298
Ceacam12,-0.4745,30,8.062e-03,0.0112
Fam160a2,-0.4744,29,9.323e-03,0.0
Dact1,-0.4744,29,9.323e-03,0.046
