gene,rho,n_coess,coess_p,hit_freq_all
Aatf,0.4097,31,2.209e-02,0.299
Lysmd1,0.4096,30,2.460e-02,0.0926
Polr1d,0.4096,30,2.460e-02,0.3069
Olfr1367,-0.4094,29,2.744e-02,0.05
Cabp5,-0.4094,29,2.744e-02,0.0787
Olfr891,-0.4094,29,2.744e-02,0.0
Ppp1r17,-0.4094,29,2.744e-02,0.023
Ly6e,-0.4094,29,2.744e-02,0.0215
Nbeal1,-0.4094,29,2.744e-02,0.0345
Atp7a,-0.4094,29,2.744e-02,0.0392
Add1,-0.4094,29,2.744e-02,0.0435
Nampt,0.4093,31,2.224e-02,0.2385
Hist1h2bh,0.4091,30,2.477e-02,0.3036
Sybu,-0.4091,30,2.477e-02,0.0341
Hist1h2ac,0.4089,31,2.238e-02,0.2361
Nom1,0.4089,31,2.238e-02,0.3053
Gm16513,0.4089,28,3.075e-02,0.1613
Cxcl12,-0.4089,29,2.765e-02,0.0094
Hdhd5,-0.4087,30,2.495e-02,0.011
Slc39a9,-0.4087,30,2.495e-02,0.0485
Sacm1l,0.4085,31,2.253e-02,0.3148
Olfr1273-ps,0.4085,25,4.265e-02,0.075
Zfp608,-0.4084,29,2.785e-02,0.0283
Ralbp1,0.4084,29,2.785e-02,0.0396
Vmn1r238,0.4082,30,2.512e-02,0.12
Cox10,0.4082,30,2.512e-02,0.2182
Tubb3,0.4082,30,2.512e-02,0.0291
Exoc1,0.4082,30,2.512e-02,0.1456
Lyz1,-0.4079,29,2.806e-02,0.0194
Glrx,0.4079,29,2.806e-02,0.049
Pou2af1,-0.4079,29,2.806e-02,0.0
Nat8f2,0.4079,29,2.806e-02,0.023
Got1l1,-0.4078,30,2.529e-02,0.0112
Tbcd,0.4077,31,2.282e-02,0.3226
Tuba1a,0.4073,31,2.297e-02,0.2262
Usp14,0.4069,29,2.848e-02,0.0962
Mrpl12,0.4069,31,2.312e-02,0.3617
Serf1,0.4069,29,2.848e-02,0.0
Dis3,0.4069,31,2.312e-02,0.3056
Dis3l,0.4069,30,2.565e-02,0.15
Ctso,-0.4069,29,2.848e-02,0.0227
Zwint,0.4069,30,2.565e-02,0.2637
Rab32,-0.4069,29,2.848e-02,0.044
Iars,0.4065,31,2.327e-02,0.3084
Fam84b,-0.4065,30,2.582e-02,0.0
AW209491,-0.4064,29,2.869e-02,0.0225
Zfp874b,-0.4064,29,2.869e-02,0.0
Fam135a,-0.4064,29,2.869e-02,0.0198
Pcdhga12,-0.4062,25,4.395e-02,0.0366
Adss,0.4061,28,3.200e-02,0.1275
Olfr561,-0.406,30,2.600e-02,0.037
Atp6v1c1,0.406,30,2.600e-02,0.2427
Gas2l2,0.4059,29,2.890e-02,0.0568
Bpi,-0.4059,29,2.890e-02,0.03
Col23a1,0.4059,29,2.890e-02,0.04
Rhag,-0.4059,29,2.890e-02,0.03
Ccnb2,0.4059,29,2.890e-02,0.0769
Cplx1,-0.4059,29,2.890e-02,0.0594
H2-M1,0.4059,29,2.890e-02,0.0455
Zmpste24,0.4059,29,2.890e-02,0.0294
Ccdc12,0.4059,29,2.890e-02,0.3222
Amy2a2,0.4056,30,2.618e-02,0.0806
Hrasls,-0.4056,30,2.618e-02,0.023
Telo2,0.4056,30,2.618e-02,0.2857
Psmd14,0.4056,30,2.618e-02,0.2378
Ndufaf2,-0.4054,29,2.912e-02,0.0645
Prdm13,-0.4054,29,2.912e-02,0.019
Klk9,0.4054,29,2.912e-02,0.0
Parp3,-0.4054,29,2.912e-02,0.0219
Rflna,-0.4054,29,2.912e-02,0.0098
Pdia5,-0.4054,29,2.912e-02,0.0
Glyat,-0.4054,29,2.912e-02,0.0
Clec4b2,-0.4054,29,2.912e-02,0.0
Wnk2,-0.4054,29,2.912e-02,0.0102
Gm12789,0.4052,31,2.372e-02,0.0633
Tcn2,0.4051,30,2.636e-02,0.04
Yif1b,-0.4051,30,2.636e-02,0.0225
Anapc10,0.4051,30,2.636e-02,0.2692
C77080,-0.4049,29,2.933e-02,0.0114
Rpusd3,0.4049,29,2.933e-02,0.0444
Gpx5,-0.4049,29,2.933e-02,0.0
S100a13,-0.4048,31,2.388e-02,0.0297
Supt4a,0.4047,30,2.654e-02,0.2453
Hist1h2ag,0.4047,30,2.654e-02,0.3393
Yme1l1,0.4044,29,2.955e-02,0.2366
Mcm3,0.4044,31,2.403e-02,0.3303
Zfp455,-0.4044,29,2.955e-02,0.0227
Ccl22,-0.4044,29,2.955e-02,0.0112
Rfpl4,-0.4044,29,2.955e-02,0.0
Hist1h4a,0.4044,31,2.403e-02,0.1786
Tgm4,-0.4044,29,2.955e-02,0.0
Nmur2,-0.4044,29,2.955e-02,0.0303
Erich5,-0.4044,29,2.955e-02,0.0345
Cse1l,0.4042,30,2.673e-02,0.3465
Letmd1,-0.4042,30,2.673e-02,0.0111
Mrpl54,0.4042,30,2.673e-02,0.1978
Slu7,0.404,31,2.418e-02,0.2718
Ccnc,0.4039,29,2.977e-02,0.2766
Akap3,-0.4039,29,2.977e-02,0.0
Sytl5,-0.4039,29,2.977e-02,0.022
Cript,0.4039,29,2.977e-02,0.2093
Cd247,0.4039,29,2.977e-02,0.0392
Olfr332,0.4038,30,2.691e-02,0.0366
Notch4,-0.4036,31,2.434e-02,0.0444
Rad23b,0.4034,29,2.999e-02,0.0942
Edn1,-0.4034,29,2.999e-02,0.0
Ripply3,-0.4034,29,2.999e-02,0.023
Gfm1,0.4034,29,2.999e-02,0.2925
Taar8c,-0.4034,29,2.999e-02,0.0308
Itpripl1,0.4034,29,2.999e-02,0.0112
Tecpr2,-0.4034,29,2.999e-02,0.0112
Ccdc28b,0.4034,29,2.999e-02,0.0667
Dhx29,0.4033,30,2.710e-02,0.2
Bpifa3,0.4033,30,2.710e-02,0.0112
Trappc6a,-0.4033,30,2.710e-02,0.0588
Zbtb17,0.4033,30,2.710e-02,0.1456
Dhx33,0.4033,30,2.710e-02,0.3426
Myh7,-0.403,29,3.021e-02,0.01
Hoxb4,-0.4029,30,2.728e-02,0.011
Polr2b,0.4029,30,2.728e-02,0.3143
Dnm2,0.4028,31,2.465e-02,0.3679
Gm3500,0.4028,28,3.355e-02,0.3143
Cypt14,-0.4025,29,3.043e-02,0.023
Pdlim2,-0.4025,29,3.043e-02,0.0112
Wdtc1,-0.4025,29,3.043e-02,0.0294
Pate4,-0.4025,29,3.043e-02,0.0118
Isg20,0.4024,30,2.747e-02,0.0189
Gm10670,0.4024,26,4.155e-02,0.1714
Hcn2,-0.4024,30,2.747e-02,0.0096
Rnf44,-0.4024,30,2.747e-02,0.0294
Chdh,0.402,29,3.065e-02,0.0294
Rpl7l1,0.402,29,3.065e-02,0.3404
BC049730,0.402,29,3.065e-02,0.0562
Glb1l,-0.402,29,3.065e-02,0.0337
Dennd4a,-0.402,29,3.065e-02,0.0225
Ctc1,0.4016,30,2.784e-02,0.1778
Gtf2e2,0.4016,31,2.513e-02,0.2747
Slxl1,0.4016,31,2.513e-02,0.2
Pde4d,-0.4016,30,2.784e-02,0.0312
Lipk,-0.4016,30,2.784e-02,0.043
Pcdhga11,-0.4015,25,4.664e-02,0.0244
Cyhr1,-0.4015,29,3.088e-02,0.023
Slamf6,-0.4015,29,3.088e-02,0.0303
Rps16,0.4015,29,3.088e-02,0.3483
Cd200r3,-0.4015,29,3.088e-02,0.0
Abca15,-0.4015,29,3.088e-02,0.0115
Brd4,0.4012,31,2.529e-02,0.2551
Trim41,0.4011,30,2.803e-02,0.0577
D630045J12Rik,-0.4011,30,2.803e-02,0.011
Psmg3,0.4011,30,2.803e-02,0.3118
Tas2r126,0.401,29,3.110e-02,0.0102
Fam185a,-0.401,29,3.110e-02,0.0
Mal2,-0.401,29,3.110e-02,0.01
Fam221a,-0.401,29,3.110e-02,0.023
Ddx51,0.4007,30,2.822e-02,0.2857
Pop4,0.4007,30,2.822e-02,0.297
Mfn1,0.4005,29,3.133e-02,0.1881
Arsk,-0.4005,29,3.133e-02,0.068
Sgk1,0.4005,29,3.133e-02,0.0194
Eral1,0.4004,31,2.561e-02,0.3297
Nop9,0.4004,31,2.561e-02,0.2967
Sbno1,0.4004,31,2.561e-02,0.2314
Emx2,0.4002,30,2.842e-02,0.0
Cks1b,0.4002,30,2.842e-02,0.1182
Rbm33,0.4,29,3.156e-02,0.2472
Zfp354c,0.4,29,3.156e-02,0.0233
Rbbp9,-0.4,29,3.156e-02,0.0225
3110035E14Rik,-0.4,29,3.156e-02,0.061
Mtrf1l,0.4,31,2.577e-02,0.3043
Olfr1474,-0.4,29,3.156e-02,0.025
Tub,-0.4,29,3.156e-02,0.0101
Cfap65,-0.4,29,3.156e-02,0.0326
